IMPORTSTAR	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_ext.sv	1	16
IMPORTSTAR	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_ext.sv	2	15
IMPORTSTAR	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_fma.sv	1	16
IMPORTSTAR	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_fma.sv	2	15
IMPORTSTAR	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_rnd.sv	1	15
UNUSEDPARAM	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_wire.sv	25	31
UNUSEDPARAM	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_wire.sv	130	28
UNUSEDPARAM	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_wire.sv	373	41
UNUSEDPARAM	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_wire.sv	458	36
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_128.sv	27	9
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_128.sv	28	9
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_ext.sv	7	28
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/float/fp_fma.sv	9	28
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_64.sv	25	9
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_64.sv	26	9
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_32.sv	23	9
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_32.sv	24	9
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_16.sv	21	9
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_16.sv	22	9
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_8.sv	19	9
UNUSEDSIGNAL	npu/version_0820/third_party/fpu-sp/verilog/src/lzc/lzc_8.sv	20	9
UNOPTFLAT	npu/version_0820/rtl/TensorNpuFp32AddMul.v	41	31
UNOPTFLAT	npu/version_0820/rtl/TensorNpuFp32AddMul.v	43	31
UNOPTFLAT	npu/version_0820/rtl/TensorNpuFp32AddMul.v	45	31
UNOPTFLAT	npu/version_0820/rtl/TensorNpuFp32AddMul.v	47	32
