command	argv_json	purpose	rc
sha256sum	["sha256sum", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/subagent-contracts/v10e_runner_prelaunch_review_v4.json"]	核对 V4 子任务合同 JSON SHA-256	0
bash	["bash", "-n", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/run-v10e-current-design-systemd-strict.sh", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/launch-v10e-current-design-systemd-strict.sh", ".github/task-runs/2026-07-24-rv64-v9s-serialize-default/launch-v9s-rootfs-csr-qh-systemd-strict.sh", "scripts/task-run-status.sh"]	检查 runner、V10E/V9S launcher 与 status helper 语法	0
bash	["bash", "scripts/tests/test-task-run-status.sh"]	运行 task-run status helper 定向测试	0
python3	["python3", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/test-runner-contract.py"]	运行 41 个静态负向变体与 7 类动态 fixture	0
rg	["rg", "-a", "-n", "\\[(V9Q-(BRIDGE-HOLDER|TRANSIENT-HOLDER|TRANSIENT-BRIDGE|DUAL-REQ-TOKEN)-DISJOINT|S2-G1-TCOLL-INGRESS-DUP|V10D-[^]]*FAIL)\\]|%Error:|Assertion failed|RTL assertion|\\[.*ASSERT.*FAIL"]	production assertion regex 匹配输入	0
rg	["rg", "-a", "-n", "\\[(V9Q-(BRIDGE-HOLDER|TRANSIENT-HOLDER|TRANSIENT-BRIDGE|DUAL-REQ-TOKEN)-DISJOINT|S2-G1-TCOLL-INGRESS-DUP|V10D-[^]]*FAIL)\\]|%Error:|Assertion failed|RTL assertion|\\[.*ASSERT.*FAIL"]	production assertion regex 无匹配输入	1
rg	["rg", "-a", "-n", "\\[(V9Q-(BRIDGE-HOLDER|TRANSIENT-HOLDER|TRANSIENT-BRIDGE|DUAL-REQ-TOKEN)-DISJOINT|S2-G1-TCOLL-INGRESS-DUP|V10D-[^]]*FAIL)\\]|%Error:|Assertion failed|RTL assertion|\\[.*ASSERT.*FAIL", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/review-v4/deliberately-missing-assertion.log"]	production assertion regex 读取错误输入	2
python3	["python3", "-", "architecture_hard_gates.rtl_binding(ROOT)"]	重算当前 npc/rv64/vsrc RTL design-id 与源文件 SHA-256 清单	0
python3	["python3", ".github/task-runs/2026-07-27-rv64-v10e-current-design-system-recert/review-v4/generate-v4-evidence.py"]	生成 V4 启动前独立验证证据	0
sha256sum	["sha256sum", "generate-v4-evidence.py", "bash-syntax.log", "bash-syntax.rc", "task-run-status.log", "task-run-status.rc", "runner-contract.log", "runner-contract.rc", "assertion-regex-fixture.log", "rtl-binding.txt", "input-sha256-pre.txt", "input-sha256-post.txt", "input-drift.txt", "gate-summary.json", "commands.tsv", "review.md"]	计算 V4 证据产物 SHA-256 清单（cwd=review-v4）	0
