bytes	sha256	path
68022335	91badd2b5c77b72222b7d5bba6d9ea4986c554b43f274e3d8a460e9adedf6926	tmp/2026-07-13-rv64-t3i-drain-retire-redundancy/sta-build/NpcTop-200MHz/NpcTop.netlist.v
68158242	e5ae3b3749af62e6d6f3a51eb70a4472c65ee614b947a113adf72bf3d8b8349a	tmp/2026-07-13-rv64-t3j-fetch-read-window/sta-build/NpcTop-200MHz/NpcTop.netlist.v
54638025	5cafb5853cab946210d75bcd1da2d3e08ac3b37bb2cffa4fd5a51be085528f13	tmp/2026-07-13-rv64-t3j-fetch-read-window/sta-build/NpcTop-200MHz/NpcTop.netlist.v.sim
41	651d740188ddb19c58fded2ec4185871ff23a1f453af22dc3f44583503743e7c	tmp/2026-07-13-rv64-t3j-fetch-read-window/sta-build/NpcTop-200MHz/abc.sdc
6262	3f8aba355b11c9df58142ed3b248bcee535536721146b451285ba806f3b5b982	tmp/2026-07-13-rv64-t3j-fetch-read-window/sta-build/NpcTop-200MHz/synth_check.txt
250468	39764b54b82a843e88606933adf11dbb27865a67325cab73784ef5132f09288b	tmp/2026-07-13-rv64-t3j-fetch-read-window/sta-build/NpcTop-200MHz/synth_stat.txt
756145733	5f50bee27da9b3f29aa26a966cbf00a821b2cc164052d345595ba2cf81b881c1	tmp/2026-07-13-rv64-t3j-fetch-read-window/sta-build/NpcTop-200MHz/yosys.log
2	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	tmp/2026-07-13-rv64-t3j-fetch-read-window/synth-exit-status.txt
48	cf28d0e76da01906cc0f59f0d1d017e68d6f0c88bf964b889153981690ff3c92	tmp/2026-07-13-rv64-t3j-fetch-read-window/synth-input-hash-cmp.txt
14936	9603a445e3c3dd02f7ae15a7f741c3dc2b12d354ff68ca480df76f484a97d563	tmp/2026-07-13-rv64-t3j-fetch-read-window/synth-rtl-inputs.pre.sha256
14936	9603a445e3c3dd02f7ae15a7f741c3dc2b12d354ff68ca480df76f484a97d563	tmp/2026-07-13-rv64-t3j-fetch-read-window/synth-rtl-inputs.post.sha256
18009	6adc06ebb553feddcdd9e29bb9d545e10ec62dbfd25837a05cb04367a086e055	tmp/2026-07-13-rv64-t3j-fetch-read-window/synth-vsrc-tree.pre.sha256
18009	6adc06ebb553feddcdd9e29bb9d545e10ec62dbfd25837a05cb04367a086e055	tmp/2026-07-13-rv64-t3j-fetch-read-window/synth-vsrc-tree.post.sha256
589	dc30aae4e1d119f8220839ed483c3f4d335e404f4b573fd92b4cd824b1885828	tmp/2026-07-13-rv64-t3j-fetch-read-window/synth-flow-inputs.pre.sha256
589	dc30aae4e1d119f8220839ed483c3f4d335e404f4b573fd92b4cd824b1885828	tmp/2026-07-13-rv64-t3j-fetch-read-window/synth-flow-inputs.post.sha256
459	c7ebe56aef33e337aaefe82e457e2176b597e21f7aa4090acc467c6c853b0e7d	tmp/2026-07-13-rv64-t3j-fetch-read-window/synth-provenance.pre.txt
2036	a464068927a02836c1c30cff60fdbab8a1b57480f375d409560cc942a3838c63	tmp/2026-07-13-rv64-t3j-fetch-read-window/sta-provenance.md
1190	a3f0d160006898c617483d22d4a36cca45e507ce516267c85570a3a63e3b8735	.github/task-runs/2026-07-13-rv64-t3j-fetch-read-window/evidence/synthesis/audit.json
114	e68d35123b1f8fdbf35fe2089478ed15dbe6ce578329735e6c12d22512491c21	.github/task-runs/2026-07-13-rv64-t3j-fetch-read-window/evidence/netlist-structure-final/old-t3i-expected-fresh-fail.log
